event_id,latitude,longitude,event_date,event_year,event_month,event_day_of_week,event_hour,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,total_casualties,severity_class,country_name,admin_division_population,gazeteer_distance,slope,aspect,curvature
1047,27.9586,84.2805,07-02-2009 00:00,,,,,landslide,monsoon,medium,unknown,3,0,3,low,Nepal,0,29.03011,89.99816895,262.5686035,-7776000000
7265,25.5007,93.9854,07/22/2015 12:00:00 AM,,,,,landslide,continuous_rain,medium,above_road,0,0,0,none,India,92113,23.04185,89.99861145,161.5650482,-12960000000
1864,36.3085,74.8219,05/15/2010 12:00:00 AM,,,,,landslide,downpour,medium,unknown,0,0,0,none,Pakistan,2005,12.89838,89.99639893,241.2602081,-6480000000
2051,31.1011,77.1793,07-07-2010 00:00,,,,,landslide,downpour,medium,unknown,0,0,0,none,India,173503,1.26428,89.99855804,283.0918884,-23328000000
7703,31.5583,95.2747,05-11-2016 00:00,,,,,landslide,earthquake,medium,above_road,0,0,0,none,China,0,15.31613,89.99906921,147.5933228,12960000000
9256,27.7657,84.4694,01/28/2016 09:00:00 PM,,,,,landslide,unknown,medium,above_road,0,0,0,none,Nepal,107157,9.79345,89.9950943,254.3577576,-3888000000
2442,28.058,83.3588,09/17/2010 12:00:00 AM,,,,,landslide,downpour,medium,unknown,0,0,0,none,Nepal,23693,28.07846,89.99929047,22.69379425,12960000000
2357,28.0579,84.0719,08/28/2010 09:00:00 AM,,,,,landslide,downpour,medium,unknown,0,0,0,none,Nepal,200000,25.28927,89.99394226,244.6538239,2592000000
6084,9.9983,76.7329,06/22/2014 03:00:00 AM,,,,,landslide,rain,medium,unknown,0,0,0,none,India,37543,13.58691,89.9935379,246.0375061,-1296000000
2441,27.86624658,84.63118672,09/17/2010 09:00:00 AM,,,,,landslide,downpour,medium,above_road,0,0,0,none,Nepal,107157,25.33635,89.99770355,97.25319672,2592000000
9684,27.20517346,86.65683342,07-03-2011 00:00,,,,,landslide,continuous_rain,medium,above_road,0,0,0,none,Nepal,3250,23.18065,89.99915314,194.3148193,-14256000000
7350,34.8482,73.5651,10/26/2015 12:00:00 AM,,,,,landslide,downpour,medium,above_road,0,0,0,none,Pakistan,0,43.19851,89.9974823,341.5650635,5184000000
3685,27.7,83.45,07-01-2011 00:00,,,,,landslide,rain,medium,unknown,0,0,0,none,Nepal,91733,0.1732,89.99816895,97.43141174,6480000000
6531,33.4702,73.8859,08/17/2014 12:00:00 AM,,,,,landslide,downpour,medium,unknown,3,2,5,low,Pakistan,640000,5.89576,89.99823761,250.559967,-3888000000
5964,34.6651,73.961,03/18/2014 12:00:00 AM,,,,,landslide,downpour,medium,unknown,0,0,0,none,Pakistan,0,11.89508,89.99938965,322.0283813,71280001024
2436,24.3069,93.125,09/16/2010 03:00:00 AM,,,,,landslide,downpour,medium,unknown,0,0,0,none,India,3962,38.37584,89.99897003,12.57893562,15552000000
7727,25.6263,94.1057,08/20/2015 06:00:00 PM,,,,,landslide,continuous_rain,medium,below_road,0,0,0,none,India,92113,5.14863,89.99781036,88.02506256,-12960000000
7160,30.3799,78.4862,07-11-2015 00:00,,,,,landslide,continuous_rain,medium,above_road,0,0,0,none,India,27611,1.34136,89.99936676,7.969610214,-18144000000
6550,27.8609,85.7763,08/25/2014 01:00:00 PM,,,,,landslide,downpour,medium,unknown,5,2,7,low,Nepal,1600,19.75513,89.99861908,287.650116,-3888000000
766,28.03,84.2945,08/30/2008 12:00:00 AM,,,,,landslide,rain,medium,unknown,2,0,2,low,Nepal,0,21.06972,89.99866486,178.1912537,9072000000
2049,31.5041,77.9521,07-07-2010 00:00,,,,,landslide,downpour,medium,unknown,0,0,0,none,India,1495,15.03698,89.99921417,243.911087,5184000000
7305,18.7687,73.3679,08-01-2015 15:15,,,,,rock_fall,continuous_rain,medium,above_road,0,0,0,none,India,64460,2.97885,89.99875641,108.78862,23328000000
