latitude,longitude,event_date,precipitation_sum_last_10_days,precipitation_sum_last_7_days,precipitation_sum_last_3_days,temperature_2m_max_in_last_10_days,temperature_2m_min_in_last_10_days,soil_moisture_0_to_7cm_mean_last_5_days,rainfall_trend_last_5_days,days_with_rain_gt_20mm_last_10_days,consecutive_rainy_days
25.7131,94.0885,07/17/2013 12:00:00 AM,197.7,166.09999999999997,90.4,25.4,18.3,0.49079999999999985,4.340000000000004,5,10
22.35037081,91.83258101,06/13/2017 03:17:00 PM,327.3,285.8,268.3,33.2,25.0,0.41691666666666677,37.04,4,10
28.145796,84.069015,09/06/2016 06:52:00 PM,160.59999999999997,141.39999999999998,48.900000000000006,30.1,17.6,0.425516666666666,-6.359999999999998,3,10
26.1445447,94.24416766,07/01/2017 04:00:00 PM,130.10000000000002,97.6,47.4,24.5,18.2,0.5036333333333336,2.14,1,10
21.23699085,92.10434768,07/05/2017 07:39:00 PM,224.7,210.6,155.7,30.0,24.6,0.4283083333333332,10.23,4,10
26.20450454,91.87202793,07/03/2017 03:17:00 PM,220.1,164.29999999999998,107.5,32.6,24.9,0.5074750000000002,5.240000000000005,6,10
22.77997113,92.03513581,07/02/2017 03:17:00 PM,46.400000000000006,38.8,20.799999999999997,32.4,24.1,0.39735000000000004,1.66,0,10
27.513641,87.640957,09/02/2016 06:04:00 PM,140.10000000000002,110.7,77.9,21.0,10.4,0.42106666666666664,9.010000000000002,2,10
25.4976444,94.12901274,07/04/2017 04:00:00 PM,203.20000000000002,108.19999999999999,34.900000000000006,23.4,16.7,0.4247333333333332,0.3800000000000023,4,10
27.833565,85.201673,09/04/2016 04:00:00 AM,147.1,145.6,111.4,27.2,17.6,0.4244666666666665,11.090000000000005,2,9
27.167781,87.055222,07/03/2017 06:04:00 PM,216.1,134.1,65.3,24.7,18.4,0.422033333333333,0.89,5,10
26.22247247,91.92053028,07/03/2017 04:00:00 PM,233.39999999999998,180.2,121.0,32.6,25.2,0.5055833333333336,7.7900000000000045,6,10
28.377188,83.498645,09/04/2016 06:04:00 PM,202.0,200.3,139.7,27.6,17.4,0.42364166666666664,15.44,3,9
26.1061808,91.85158907,07/03/2017 02:33:00 PM,211.70000000000002,161.2,102.9,31.7,24.3,0.5064000000000002,2.8800000000000043,6,10
26.10430759,91.86227824,07/03/2017 02:33:00 PM,211.70000000000002,161.2,102.9,32.1,24.7,0.5064000000000002,2.8800000000000043,6,10
22.74955141,92.22099982,06/13/2017 03:17:00 PM,415.1,381.9,340.0,33.8,22.7,0.41859999999999975,46.75,4,10
22.80452414,91.91261915,06/13/2017 06:48:00 PM,356.8,334.5,292.5,35.5,24.2,0.41257499999999986,45.89,4,10
31.956546,77.109719,09/02/2016 06:04:00 PM,101.9,64.50000000000001,31.799999999999997,26.7,17.6,0.4630999999999999,1.06,0,10
34.525881,71.398496,09/08/2016 06:04:00 PM,7.999999999999999,1.2,1.2,36.7,21.4,0.1747416666666668,0.1,0,3
27.90362599,85.91050294,07/02/2017 07:39:00 PM,201.40000000000003,150.2,84.7,25.9,17.3,0.42491666666666655,3.96,4,10
27.98531715,94.21263589,07/04/2017 07:39:00 PM,316.3,268.9,77.9,30.6,23.5,0.4272833333333332,-18.41999999999999,7,10
26.11613908,94.24222574,07/01/2017 04:00:00 PM,130.10000000000002,97.6,47.4,23.8,17.5,0.5036333333333336,2.14,1,10
21.42181705,92.17584376,07/05/2017 07:39:00 PM,192.29999999999998,176.2,127.6,30.9,24.3,0.42776666666666635,8.09,4,10
27.97875751,94.26296826,07/04/2017 07:39:00 PM,375.5999999999999,330.8999999999999,91.19999999999999,30.7,23.7,0.428008333333333,-26.27,6,10
21.04270451,92.21525816,06/14/2017 06:48:00 PM,379.20000000000005,362.70000000000005,304.5,30.9,25.1,0.3446916666666666,18.229999999999983,4,10
26.90298048,88.29518925,07/05/2017 04:00:00 PM,404.79999999999995,283.20000000000005,130.6,22.0,15.7,0.42679999999999985,0.0699999999999909,7,10
27.878121,85.143062,07/05/2017 06:52:00 PM,227.2,212.1,90.5,31.9,24.1,0.4163249999999998,-4.08,3,10
23.69461107,92.87641207,06/28/2017 04:00:00 PM,108.8,59.5,33.3,30.5,20.5,0.4111499999999999,0.7200000000000011,1,10
26.3312531,94.55427723,07/01/2017 04:00:00 PM,151.10000000000002,96.5,41.7,24.2,18.7,0.5050833333333336,-0.17,1,10
27.02149311,88.25902123,07/06/2017 07:39:00 PM,383.7,267.5,148.4,19.7,12.3,0.42662499999999975,-3.02,6,10
28.372874,83.567989,08/16/2016 12:40:00 PM,155.7,96.7,37.0,27.8,22.0,0.4223499999999998,2.839999999999999,3,10
