latitude,longitude,elevation,slope,aspect,curvature,precipitation_sum_last_10_days,precipitation_sum_last_7_days,precipitation_sum_last_3_days,temperature_2m_max_in_last_10_days,temperature_2m_min_in_last_10_days,soil_moisture_0_to_7cm_mean_last_5_days,rainfall_trend_last_5_days,days_with_rain_gt_20mm_last_10_days,consecutive_rainy_days,landslide
10.9628,77.5947,269.0,89.95973969,288.4349365,0.0,58.6,49.6,2.6,31.4,23.0,0.329683333,-2.31,1,7,1
28.4311,82.1847,1133.0,89.99846649,105.3762512,7776000000.0,272.6,204.3,71.7,28.0,20.4,0.424925,-11.57,5,10,1
25.7658,93.9413,808.0,89.99941254,218.2464294,-34992001024.0,126.9,92.6,54.5,27.8,21.3,0.481641667,2.84,2,10,1
28.6202,82.4393,984.0,89.99869537,289.1790161,10368000000.0,272.6,204.3,71.7,28.1,20.2,0.426716667,-11.57,5,10,1
25.7131,94.0885,1413.0,89.99881744,260.3624573,-7776000000.0,197.7,166.1,90.4,25.4,18.3,0.4908,4.34,5,10,1
22.35037081,91.83258101,38.0,89.99533844,203.7494965,1296000000.0,327.3,285.8,268.3,33.2,25.0,0.416916667,37.04,4,10,1
28.145796,84.069015,683.0,89.99195099,145.3048401,0.0,160.6,141.4,48.9,30.1,17.6,0.425516667,-6.36,3,10,1
26.1445447,94.24416766,1274.0,89.99875641,130.2363586,18144000000.0,130.1,97.6,47.4,24.5,18.2,0.503633333,2.14,1,10,1
21.23699085,92.10434768,28.0,89.99674225,274.3987122,-1296000000.0,224.7,210.6,155.7,30.0,24.6,0.428308333,10.23,4,10,1
26.20450454,91.87202793,138.0,89.99839783,32.69198608,9072000000.0,220.1,164.3,107.5,32.6,24.9,0.507475,5.24,6,10,1
22.77997113,92.03513581,90.0,89.99695587,201.0375061,3888000000.0,46.4,38.8,20.8,32.4,24.1,0.39735,1.66,0,10,1
27.513641,87.640957,2431.0,89.99918365,250.8663635,12960000000.0,140.1,110.7,77.9,21.0,10.4,0.421066667,9.01,2,10,1
25.4976444,94.12901274,1733.0,89.99927521,129.9305725,1296000000.0,203.2,108.2,34.9,23.4,16.7,0.424733333,0.38,4,10,1
27.833565,85.201673,1424.0,89.99908447,101.6336365,20736000000.0,147.1,145.6,111.4,27.2,17.6,0.424466667,11.09,2,9,1
27.167781,87.055222,1467.0,89.99728394,73.88658142,-9072000000.0,216.1,134.1,65.3,24.7,18.4,0.422033333,0.89,5,10,1
26.22247247,91.92053028,91.0,89.99860382,296.0033569,1296000000.0,233.4,180.2,121.0,32.6,25.2,0.505583333,7.79,6,10,1
28.377188,83.498645,1246.0,89.99948883,208.7397919,38880002048.0,202.0,200.3,139.7,27.6,17.4,0.423641667,15.44,3,9,1
26.1061808,91.85158907,204.0,89.99908447,30.2564373,1296000000.0,211.7,161.2,102.9,31.7,24.3,0.5064,2.88,6,10,1
26.10430759,91.86227824,155.0,89.9989624,334.4765625,20736000000.0,211.7,161.2,102.9,32.1,24.7,0.5064,2.88,6,10,1
22.74955141,92.22099982,246.0,89.99658203,233.7461548,1296000000.0,415.1,381.9,340.0,33.8,22.7,0.4186,46.75,4,10,1
22.80452414,91.91261915,33.0,89.97816467,120.9637527,0.0,356.8,334.5,292.5,35.5,24.2,0.412575,45.89,4,10,1
22.80452414,91.91261915,33.0,89.97816467,120.9637527,0.0,356.8,334.5,292.5,35.5,24.2,0.412575,45.89,4,10,1
31.956546,77.109719,1232.0,89.99459076,102.2647705,-1296000000.0,101.9,64.5,31.8,26.7,17.6,0.4631,1.06,0,10,1
34.525881,71.398496,681.0,89.96817017,90.0,-1296000000.0,8.0,1.2,1.2,36.7,21.4,0.174741667,0.1,0,3,1
27.90362599,85.91050294,1607.0,89.99886322,79.69515228,6480000000.0,201.4,150.2,84.7,25.9,17.3,0.424916667,3.96,4,10,1
27.98531715,94.21263589,323.0,89.99884796,143.8579559,0.0,316.3,268.9,77.9,30.6,23.5,0.427283333,-18.42,7,10,1
26.11613908,94.24222574,1399.0,89.99901581,3.106027126,-10368000000.0,130.1,97.6,47.4,23.8,17.5,0.503633333,2.14,1,10,1
21.42181705,92.17584376,50.0,89.99742889,98.13010406,5184000000.0,192.3,176.2,127.6,30.9,24.3,0.427766667,8.09,4,10,1
27.97875751,94.26296826,323.0,89.99851227,25.66519165,-2592000000.0,375.6,330.9,91.2,30.7,23.7,0.428008333,-26.27,6,10,1
21.04270451,92.21525816,49.0,89.99859619,132.3162231,6480000000.0,379.2,362.7,304.5,30.9,25.1,0.344691667,18.23,4,10,1
26.90298048,88.29518925,1814.0,89.99908447,296.5650635,-7776000000.0,404.8,283.2,130.6,22.0,15.7,0.4268,0.07,7,10,1
27.878121,85.143062,586.0,89.99699402,289.2900391,7776000000.0,227.2,212.1,90.5,31.9,24.1,0.416325,-4.08,3,10,1
23.69461107,92.87641207,570.0,89.99826813,97.02839661,15552000000.0,108.8,59.5,33.3,30.5,20.5,0.41115,0.72,1,10,1
26.3312531,94.55427723,1334.0,89.9984436,107.1027298,20736000000.0,151.1,96.5,41.7,24.2,18.7,0.505083333,-0.17,1,10,1
27.02149311,88.25902123,2318.0,89.99842072,133.9949188,-7776000000.0,383.7,267.5,148.4,19.7,12.3,0.426625,-3.02,6,10,1
28.372874,83.567989,909.0,89.99848938,105.8519287,6480000000.0,155.7,96.7,37.0,27.8,22.0,0.42235,2.84,3,10,1
38.74738889,75.19605556,2953.0,89.99860382,351.1581726,-7776000000.0,46.9,41.1,16.1,18.0,4.2,0.237183333,0.13,0,6,1
17.06998518,96.82040086,9.0,89.99117279,213.6900635,6480000000.0,169.9,151.5,98.6,32.7,25.1,0.38785,0.29,3,10,1
23.19807165,94.29816252,102.0,89.98713684,225.0,-2592000000.0,146.2,100.4,5.7,35.3,24.1,0.476725,-2.34,2,7,1
27.06992579,93.6146564,199.0,89.98576355,63.43494797,-6480000000.0,235.9,218.5,76.9,32.3,23.2,0.423225,5.18,3,10,1
28.069957,85.01,1608.0,89.99884033,342.5528259,6480000000.0,126.8,89.2,23.5,23.8,17.0,0.421508333,-2.53,1,10,1
34.27703802,75.46743478,3543.0,89.99919128,140.6594849,-9072000000.0,9.7,9.5,0.0,14.8,-7.0,0.423775,-0.66,0,3,1
16.28332586,80.26097734,192.0,89.99863434,210.9637604,1296000000.0,9.4,9.0,3.4,44.5,28.5,0.136866667,0.39,0,2,1
30.070512,80.237218,2165.0,89.99800873,107.3005295,5184000000.0,125.3,72.3,25.1,23.3,15.6,0.424433333,-3.53,3,6,1
24.21988831,93.20266204,794.0,89.99911499,58.62699509,-1296000000.0,144.1,120.6,70.0,29.1,19.9,0.421525,4.81,2,10,1
27.6835,86.1804,2224.0,89.99848175,116.2586594,2592000000.0,234.0,169.9,85.7,20.2,14.2,0.425625,1.68,7,10,1
11.34165808,76.8694278,629.0,89.99910736,131.6002808,3888000000.0,148.8,117.9,20.7,34.2,21.3,0.391058333,-5.1,3,10,1
22.65620215,93.61589869,1569.0,89.99838257,347.5500183,6480000000.0,42.1,40.0,39.8,30.2,14.4,0.220383333,4.91,1,4,1
32.62803,75.37123,740.0,89.99576569,93.81407166,12960000000.0,29.9,25.2,20.8,34.3,21.1,0.15105,2.94,0,8,1
25.15246863,92.94670614,979.0,89.983284,246.8014069,6480000000.0,645.1,611.3,405.5,26.9,18.3,0.51055,9.61,6,10,1
21.87861504,92.2676503,44.0,89.99338531,242.1027222,-1296000000.0,429.1,392.6,290.3,35.5,24.2,0.414483333,34.91,4,10,1
24.30415689,93.18182448,858.0,89.99931335,213.9485474,18144000000.0,180.5,169.8,86.4,27.9,20.1,0.422475,2.78,4,10,1
30.56504675,79.56163208,1392.0,89.99740601,178.8308563,-7776000000.0,20.7,18.2,14.6,27.7,12.1,0.317266667,1.26,0,5,1
31.581485,78.412784,2222.0,89.98499298,315.0,-7776000000.0,63.9,37.0,14.4,25.7,14.6,0.401466667,-0.57,0,10,1
26.88161,95.399897,718.0,89.9979248,239.6763916,16848000000.0,149.3,73.2,32.1,29.6,22.2,0.467183333,2.32,3,10,1
30.73315585,79.49231617,3057.0,89.99907684,101.3099289,-27215998976.0,16.8,16.8,2.4,11.0,-4.6,0.3303,-0.14,0,2,1
30.02715,67.458172,1104.0,89.99884796,249.2612915,-3888000000.0,4.0,3.0,2.4,38.0,20.1,0.022816667,0.41,0,2,1
33.63251807,75.23162006,1750.0,89.93634033,270.0,1296000000.0,7.3,6.2,3.4,27.4,10.3,0.222691667,0.53,0,4,1
13.90074546,74.66018578,81.0,89.99794006,209.0546112,0.0,639.6,580.2,489.2,29.5,23.7,0.51255,62.41,7,10,1
13.90074546,74.66018578,81.0,89.99794006,209.0546112,0.0,639.6,580.2,489.2,29.5,23.7,0.51255,62.41,7,10,1
6.519724975,80.15402093,52.0,89.99541473,120.2564392,-2592000000.0,163.8,131.6,61.3,30.5,23.7,0.505366667,1.72,2,10,1
29.60012,80.630002,1765.0,89.99763489,338.1985779,-6480000000.0,68.3,50.4,30.0,25.9,15.9,0.384491667,0.98,0,10,1
23.86469956,91.8949662,127.0,89.97749329,135.0,12960000000.0,149.2,136.3,20.7,34.3,23.2,0.416233333,-12.51,2,10,1
30.33597362,79.31958144,888.0,89.99917603,252.2694702,-31104000000.0,26.5,12.3,0.1,36.4,17.6,0.357325,-0.36,0,6,1
29.48,82.2896,3987.0,89.99930573,293.1985779,34992001024.0,115.2,55.8,21.5,15.4,6.3,0.420733333,0.52,2,10,1
29.350849,79.451264,1576.0,89.99797821,305.9605103,-24624001024.0,243.3,198.2,49.4,25.7,19.5,0.48135,-1.08,5,10,1
14.42827957,74.41606625,15.0,89.99230957,334.9830933,-6480000000.0,307.9,252.6,174.1,29.8,24.6,0.511141667,13.3,6,10,1
13.87803507,74.6246332,50.0,89.99868774,143.3658905,1296000000.0,639.6,580.2,489.2,29.5,23.7,0.51255,62.41,7,10,1
26.9653186,88.2667225,1823.0,89.99854279,249.9047699,-5184000000.0,144.5,116.0,88.2,23.0,12.7,0.409125,15.31,1,10,1
33.01739981,74.93828041,1904.0,89.99879456,275.9805908,31104000000.0,41.9,32.2,31.7,25.5,12.8,0.323466667,4.51,0,3,1
22.59420297,92.16404889,35.0,89.9930954,167.4711914,-5184000000.0,193.8,137.0,111.5,35.4,24.5,0.419008333,14.32,3,10,1
22.59420297,92.16404889,35.0,89.9930954,167.4711914,-5184000000.0,193.8,137.0,111.5,35.4,24.5,0.419008333,14.32,3,10,1
22.65242372,92.15898865,48.0,89.99099731,135.0,-3888000000.0,390.4,357.8,305.2,35.2,24.6,0.330325,41.58,5,10,1
22.65242372,92.15898865,48.0,89.99099731,135.0,-3888000000.0,390.4,357.8,305.2,35.2,24.6,0.330325,41.58,5,10,1
31.70779,76.932771,767.0,89.97502899,258.6900635,-2592000000.0,155.5,133.4,108.7,31.1,22.7,0.39655,2.55,2,10,1
32.94818322,75.12206351,744.0,89.99297333,186.3401947,1296000000.0,21.6,20.0,16.9,34.0,21.3,0.267158333,2.56,0,3,1
30.86642127,76.99790295,1130.0,89.99890137,160.3128815,1296000000.0,64.2,35.5,32.7,29.7,18.6,0.320075,4.65,0,5,1
28.301686,84.386742,853.0,89.99503326,231.3401947,3888000000.0,332.0,169.9,121.2,29.4,21.4,0.420966667,14.54,6,10,1
30.94222039,76.80054202,434.0,89.99050903,296.5650635,-1296000000.0,16.8,15.2,8.9,42.3,21.5,0.05875,1.78,0,5,1
